horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,41,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1981010166928172,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,42,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19009262416511774,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,43,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1926103075966239,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,44,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19648010935634375,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,45,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19459034409374,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,46,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19055027421563864,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,47,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19362706132233143,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,48,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19254679512232542,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,49,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19182766135782003,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,50,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19971623457968235,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,51,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19974594004452229,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,52,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19945700373500586,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,53,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19957705680280924,1,NVIDIA A40,1,8,6499038,2020-07-01
