horizon_days,repetition,et_seconds,sm_seconds,pair_seconds,resource,gpu_count,supporting_cpu_cores,batch_size,slurm_job_id,target_date
7,30,0.1886655082926154,0.18642358761280775,0.3750940365716815,NVIDIA A40,1,8,1,6499038,2020-07-01
7,31,0.1916095819324255,0.18620967585593462,0.3778243074193597,NVIDIA A40,1,8,1,6499038,2020-07-01
7,32,0.19799137581139803,0.19321561977267265,0.3912127669900656,NVIDIA A40,1,8,1,6499038,2020-07-01
7,33,0.2009649546816945,0.1942100739106536,0.39518222119659185,NVIDIA A40,1,8,1,6499038,2020-07-01
7,34,0.20082711894065142,0.19372819643467665,0.3945603258907795,NVIDIA A40,1,8,1,6499038,2020-07-01
7,35,0.20077864546328783,0.19451656192541122,0.3953004404902458,NVIDIA A40,1,8,1,6499038,2020-07-01
7,36,0.20021903980523348,0.19384804740548134,0.39407226722687483,NVIDIA A40,1,8,1,6499038,2020-07-01
7,37,0.20031601656228304,0.19362018909305334,0.39394149649888277,NVIDIA A40,1,8,1,6499038,2020-07-01
7,38,0.2001544153317809,0.193565403111279,0.3937253598123789,NVIDIA A40,1,8,1,6499038,2020-07-01
7,39,0.1999972928315401,0.19392733927816153,0.3939294731244445,NVIDIA A40,1,8,1,6499038,2020-07-01
7,40,0.20008543320000172,0.18616878800094128,0.3862598305568099,NVIDIA A40,1,8,1,6499038,2020-07-01
7,41,0.1981010166928172,0.1938743768259883,0.3919797223061323,NVIDIA A40,1,8,1,6499038,2020-07-01
7,42,0.19009262416511774,0.18481807876378298,0.37491515278816223,NVIDIA A40,1,8,1,6499038,2020-07-01
7,43,0.1926103075966239,0.18485548067837954,0.3774698255583644,NVIDIA A40,1,8,1,6499038,2020-07-01
7,44,0.19648010935634375,0.1919146990403533,0.3883994873613119,NVIDIA A40,1,8,1,6499038,2020-07-01
7,45,0.19459034409374,0.18117894139140844,0.37577342242002487,NVIDIA A40,1,8,1,6499038,2020-07-01
7,46,0.19055027421563864,0.18695078138262033,0.3775055054575205,NVIDIA A40,1,8,1,6499038,2020-07-01
7,47,0.19362706132233143,0.18672766163945198,0.3803593423217535,NVIDIA A40,1,8,1,6499038,2020-07-01
7,48,0.19254679512232542,0.18698309361934662,0.3795352578163147,NVIDIA A40,1,8,1,6499038,2020-07-01
7,49,0.19182766135782003,0.18928426876664162,0.3811168000102043,NVIDIA A40,1,8,1,6499038,2020-07-01
7,50,0.19971623457968235,0.19324355386197567,0.3929658494889736,NVIDIA A40,1,8,1,6499038,2020-07-01
7,51,0.19974594004452229,0.1930508939549327,0.39280221424996853,NVIDIA A40,1,8,1,6499038,2020-07-01
7,52,0.19945700373500586,0.19354170747101307,0.39300332125276327,NVIDIA A40,1,8,1,6499038,2020-07-01
7,53,0.19957705680280924,0.19323676079511642,0.3928195182234049,NVIDIA A40,1,8,1,6499038,2020-07-01
7,54,0.1995572680607438,0.19380435347557068,0.39336651004850864,NVIDIA A40,1,8,1,6499038,2020-07-01
7,55,0.19959844648838043,0.19306607265025377,0.39266941882669926,NVIDIA A40,1,8,1,6499038,2020-07-01
7,56,0.19907578080892563,0.19067974388599396,0.3897609952837229,NVIDIA A40,1,8,1,6499038,2020-07-01
7,57,0.19648972805589437,0.19064144883304834,0.38713508378714323,NVIDIA A40,1,8,1,6499038,2020-07-01
7,58,0.19828815665096045,0.19058899953961372,0.3888816647231579,NVIDIA A40,1,8,1,6499038,2020-07-01
7,59,0.19812826812267303,0.1918433215469122,0.38997585885226727,NVIDIA A40,1,8,1,6499038,2020-07-01
7,60,0.19804656226187944,0.19174857158213854,0.38979917019605637,NVIDIA A40,1,8,1,6499038,2020-07-01
7,61,0.1979830414056778,0.19204531237483025,0.3900325018912554,NVIDIA A40,1,8,1,6499038,2020-07-01
7,62,0.19751404039561749,0.19187003560364246,0.3893887735903263,NVIDIA A40,1,8,1,6499038,2020-07-01
7,63,0.19071995373815298,0.18468119949102402,0.3754052883014083,NVIDIA A40,1,8,1,6499038,2020-07-01
7,64,0.1922507667914033,0.18555996846407652,0.37781499419361353,NVIDIA A40,1,8,1,6499038,2020-07-01
7,65,0.1923323441296816,0.1834908090531826,0.3758273310959339,NVIDIA A40,1,8,1,6499038,2020-07-01
7,66,0.19209512788802385,0.18566846754401922,0.37776853516697884,NVIDIA A40,1,8,1,6499038,2020-07-01
7,67,0.19179337844252586,0.1855538273230195,0.3773523746058345,NVIDIA A40,1,8,1,6499038,2020-07-01
7,68,0.19219829607754946,0.18566339742392302,0.37786616291850805,NVIDIA A40,1,8,1,6499038,2020-07-01
7,69,0.19238528609275818,0.18607043102383614,0.3784619690850377,NVIDIA A40,1,8,1,6499038,2020-07-01
7,70,0.19220901653170586,0.18494215980172157,0.377156687900424,NVIDIA A40,1,8,1,6499038,2020-07-01
7,71,0.19432696048170328,0.1932357707992196,0.3875677324831486,NVIDIA A40,1,8,1,6499038,2020-07-01
7,72,0.19925087969750166,0.19236777257174253,0.39162316266447306,NVIDIA A40,1,8,1,6499038,2020-07-01
7,73,0.19913215283304453,0.19372432213276625,0.3928607301786542,NVIDIA A40,1,8,1,6499038,2020-07-01
7,74,0.1991363102570176,0.1925299046561122,0.39167096372693777,NVIDIA A40,1,8,1,6499038,2020-07-01
7,75,0.1994455447420478,0.19258966948837042,0.39203995279967785,NVIDIA A40,1,8,1,6499038,2020-07-01
7,76,0.19943707808852196,0.19327585864812136,0.392717856913805,NVIDIA A40,1,8,1,6499038,2020-07-01
7,77,0.19963498041033745,0.19275106955319643,0.3923908481374383,NVIDIA A40,1,8,1,6499038,2020-07-01
7,78,0.19924258533865213,0.19297550152987242,0.3922225749120116,NVIDIA A40,1,8,1,6499038,2020-07-01
7,79,0.19943194929510355,0.19276817329227924,0.3922046907246113,NVIDIA A40,1,8,1,6499038,2020-07-01
7,80,0.1989299040287733,0.19247381575405598,0.3914085188880563,NVIDIA A40,1,8,1,6499038,2020-07-01
7,81,0.1989763928577304,0.1930842101573944,0.39206498116254807,NVIDIA A40,1,8,1,6499038,2020-07-01
7,82,0.19904262013733387,0.1925043947994709,0.39155133347958326,NVIDIA A40,1,8,1,6499038,2020-07-01
7,83,0.19888965599238873,0.192986361682415,0.39188064727932215,NVIDIA A40,1,8,1,6499038,2020-07-01
7,84,0.20101142674684525,0.1919468529522419,0.3929701028391719,NVIDIA A40,1,8,1,6499038,2020-07-01
7,85,0.19941916409879923,0.19345301017165184,0.3928763410076499,NVIDIA A40,1,8,1,6499038,2020-07-01
7,86,0.19920989219099283,0.1933717131614685,0.392586724832654,NVIDIA A40,1,8,1,6499038,2020-07-01
7,87,0.19940101820975542,0.1847187913954258,0.3841242687776685,NVIDIA A40,1,8,1,6499038,2020-07-01
7,88,0.19398373179137707,0.18773075379431248,0.38171849213540554,NVIDIA A40,1,8,1,6499038,2020-07-01
7,89,0.1918148985132575,0.1863634642213583,0.37818230129778385,NVIDIA A40,1,8,1,6499038,2020-07-01
7,90,0.19259583111852407,0.18825451098382473,0.38085500057786703,NVIDIA A40,1,8,1,6499038,2020-07-01
7,91,0.18903939984738827,0.1856626057997346,0.37470595352351665,NVIDIA A40,1,8,1,6499038,2020-07-01
7,92,0.19265896175056696,0.18688671104609966,0.3795509831979871,NVIDIA A40,1,8,1,6499038,2020-07-01
7,93,0.19310986902564764,0.1874481402337551,0.38056286983191967,NVIDIA A40,1,8,1,6499038,2020-07-01
7,94,0.19375279638916254,0.18732673674821854,0.3810842717066407,NVIDIA A40,1,8,1,6499038,2020-07-01
7,95,0.19306563399732113,0.1879540430381894,0.3810250787064433,NVIDIA A40,1,8,1,6499038,2020-07-01
7,96,0.20020556636154652,0.19367663003504276,0.39388650469481945,NVIDIA A40,1,8,1,6499038,2020-07-01
7,97,0.19692244194447994,0.18301544524729252,0.37994302716106176,NVIDIA A40,1,8,1,6499038,2020-07-01
7,98,0.19183037895709276,0.18622118048369884,0.37805589847266674,NVIDIA A40,1,8,1,6499038,2020-07-01
7,99,0.19282543193548918,0.18708621431142092,0.3799163457006216,NVIDIA A40,1,8,1,6499038,2020-07-01
7,100,0.1931335749104619,0.18696552142500877,0.3801035266369581,NVIDIA A40,1,8,1,6499038,2020-07-01
7,101,0.1924534672871232,0.1861321097239852,0.37858964409679174,NVIDIA A40,1,8,1,6499038,2020-07-01
7,102,0.20017472747713327,0.19525989517569542,0.39543941244482994,NVIDIA A40,1,8,1,6499038,2020-07-01
7,103,0.20088889077305794,0.19525552727282047,0.39615038968622684,NVIDIA A40,1,8,1,6499038,2020-07-01
7,104,0.20167225878685713,0.19581267796456814,0.39749006647616625,NVIDIA A40,1,8,1,6499038,2020-07-01
7,105,0.202109488658607,0.19535857532173395,0.3974731834605336,NVIDIA A40,1,8,1,6499038,2020-07-01
7,106,0.2015744298696518,0.19420261215418577,0.3957820814102888,NVIDIA A40,1,8,1,6499038,2020-07-01
7,107,0.20158727560192347,0.194595105946064,0.3961878623813391,NVIDIA A40,1,8,1,6499038,2020-07-01
7,108,0.20107060112059116,0.1948115024715662,0.3958953693509102,NVIDIA A40,1,8,1,6499038,2020-07-01
7,109,0.20128639601171017,0.19468879606574774,0.3959805527701974,NVIDIA A40,1,8,1,6499038,2020-07-01
7,110,0.20151274092495441,0.19517118390649557,0.3966890759766102,NVIDIA A40,1,8,1,6499038,2020-07-01
7,111,0.2013570424169302,0.1948743825778365,0.39623561315238476,NVIDIA A40,1,8,1,6499038,2020-07-01
7,112,0.20059866271913052,0.19509629998356104,0.3956997934728861,NVIDIA A40,1,8,1,6499038,2020-07-01
7,113,0.20045245252549648,0.19369915314018726,0.394156014546752,NVIDIA A40,1,8,1,6499038,2020-07-01
7,114,0.1976510938256979,0.19119103997945786,0.3888468025252223,NVIDIA A40,1,8,1,6499038,2020-07-01
7,115,0.1983634540811181,0.1847873842343688,0.3831555265933275,NVIDIA A40,1,8,1,6499038,2020-07-01
7,116,0.18954751919955015,0.18778993841260672,0.37734257616102695,NVIDIA A40,1,8,1,6499038,2020-07-01
7,117,0.19339720346033573,0.18742804136127234,0.3808293528854847,NVIDIA A40,1,8,1,6499038,2020-07-01
7,118,0.19368429481983185,0.1878810040652752,0.38156987726688385,NVIDIA A40,1,8,1,6499038,2020-07-01
7,119,0.194967201910913,0.18992013484239578,0.3848927579820156,NVIDIA A40,1,8,1,6499038,2020-07-01
7,120,0.1969410888850689,0.1905799238011241,0.38752660248428583,NVIDIA A40,1,8,1,6499038,2020-07-01
7,121,0.1958050448447466,0.19065719190984964,0.38646723609417677,NVIDIA A40,1,8,1,6499038,2020-07-01
7,122,0.19688545260578394,0.19051174353808165,0.3874021843075752,NVIDIA A40,1,8,1,6499038,2020-07-01
7,123,0.19722356088459492,0.19063539151102304,0.3878638120368123,NVIDIA A40,1,8,1,6499038,2020-07-01
7,124,0.19670982379466295,0.18140548933297396,0.3781199213117361,NVIDIA A40,1,8,1,6499038,2020-07-01
7,125,0.19072412140667439,0.19114309828728437,0.381872920319438,NVIDIA A40,1,8,1,6499038,2020-07-01
7,126,0.20210966933518648,0.19520482886582613,0.3973187068477273,NVIDIA A40,1,8,1,6499038,2020-07-01
7,127,0.20100030582398176,0.19459703098982573,0.39560311660170555,NVIDIA A40,1,8,1,6499038,2020-07-01
7,128,0.20134544931352139,0.19551481679081917,0.39686479326337576,NVIDIA A40,1,8,1,6499038,2020-07-01
7,129,0.20144600328058004,0.1946948580443859,0.3961450392380357,NVIDIA A40,1,8,1,6499038,2020-07-01
7,130,0.2013721913099289,0.19454721454530954,0.395923993550241,NVIDIA A40,1,8,1,6499038,2020-07-01
7,131,0.20146309584379196,0.19470953568816185,0.3961781729012728,NVIDIA A40,1,8,1,6499038,2020-07-01
7,132,0.2009884025901556,0.19432722218334675,0.3953211950138211,NVIDIA A40,1,8,1,6499038,2020-07-01
7,133,0.20079609286040068,0.19487056694924831,0.3956707864999771,NVIDIA A40,1,8,1,6499038,2020-07-01
7,134,0.20137260109186172,0.19483385607600212,0.3962116576731205,NVIDIA A40,1,8,1,6499038,2020-07-01
7,135,0.20165759976953268,0.19471665937453508,0.3963785981759429,NVIDIA A40,1,8,1,6499038,2020-07-01
