horizon_days,elm_one_node_repetitions,elm_one_node_median_seconds,elm_one_node_iqr_seconds,elm_one_node_p95_seconds,elm_one_node_median_cpu_core_hours,ml_pair_repetitions,ml_pair_median_seconds,ml_pair_iqr_seconds,ml_pair_p95_seconds,ml_pair_median_gpu_hours,ml_pair_median_supporting_cpu_core_hours,one_node_elm_to_one_a40_speedup,july_two_node_elm_median_seconds,july_two_node_elm_cpu_core_hours,july_two_node_elm_to_one_a40_speedup,july_four_node_elm_median_seconds,july_four_node_elm_cpu_core_hours,july_four_node_elm_to_one_a40_speedup
7,12,116.12085332599963,14.091033297998365,128.2100689116967,0.6451158518111091,200,0.3910887148231268,0.013636433752253652,0.39621285544708373,0.00010863575411753522,0.0008690860329402817,296.9169114954296,,,,,,
30,12,285.24849200400786,21.474360558997432,319.80967306435195,1.5847138444667104,200,0.5961916041560471,0.018003659090027213,0.6140236044302583,0.0001656087789322353,0.0013248702314578825,478.45103824935273,,,,,,
90,12,789.7798756214979,79.97322296348284,840.8675594581539,4.387665975674988,200,3.8477974985726178,0.06915829377248883,3.9137967885006217,0.0010688326384923938,0.00855066110793915,205.25505199129512,545.9054228580062,6.065615809533402,141.8747798085829,500.7982668929908,11.128850375399795,130.15192901361553
