horizon_days,input_days,repetitions,median_seconds,iqr_seconds,p95_seconds,minimum_seconds,maximum_seconds,median_gpu_hours,median_supporting_cpu_core_hours,batch_size,pair_order,resource,slurm_job_id
7,10,200,0.3910887148231268,0.013636433752253652,0.39621285544708373,0.3730372153222561,0.39749006647616625,0.00010863575411753522,0.0008690860329402817,1,ET then SM,NVIDIA A40,6499038
30,45,200,0.5961916041560471,0.018003659090027213,0.6140236044302583,0.575050625950098,0.6158725274726748,0.0001656087789322353,0.0013248702314578825,1,ET then SM,NVIDIA A40,6499038
90,135,200,3.8477974985726178,0.06915829377248883,3.9137967885006217,3.7008146615698934,3.93202409055084,0.0010688326384923938,0.00855066110793915,1,ET then SM,NVIDIA A40,6499038
