horizon_days,input_days,target,model_id,architecture,repetitions,median_seconds,iqr_seconds,p95_seconds,minimum_seconds,maximum_seconds,model_load_seconds,first_synchronized_call_seconds,batch_size,resource,slurm_job_id
7,10,ET,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,200,0.19876317773014307,0.007211085641756654,0.2014655780978501,0.1886655082926154,0.20210966933518648,0.9215155942365527,0.8776117879897356,1,NVIDIA A40,6499038
7,10,SM,007_base_7var_weekly_DEconvlstm_7d_low_lr_wd_hidden48,encdec,200,0.1924620638601482,0.006561758928000927,0.19504798627458514,0.18117894139140844,0.19581267796456814,0.17467651423066854,0.2477625571191311,1,NVIDIA A40,6499038
30,45,ET,029_base_7var_monthly_Seq2seqconvlstm_30d_compact_1layer,seq2seq,200,0.22418952453881502,0.007175131933763623,0.2308616152498871,0.21410565171390772,0.2318391501903534,0.10068009980022907,0.24267704598605633,1,NVIDIA A40,6499038
30,45,SM,024_base_7var_monthly_DEconvlstm_30d_compact_1layer,encdec,200,0.37213284987956285,0.011398524744436145,0.3832296177279204,0.3565539987757802,0.38557713385671377,0.15011237375438213,0.37998155783861876,1,NVIDIA A40,6499038
90,135,ET,034_base_7var_seasonal_ARconvlstm_90d_compact_1layer,autoregressive,200,1.736868655309081,0.04019586113281548,1.7682596812024713,1.6559486165642738,1.7765082009136677,0.6302365120500326,1.829900742508471,1,NVIDIA A40,6499038
90,135,SM,037_base_7var_seasonal_DEconvlstm_90d_low_lr_wd_hidden48,encdec,200,2.115927157457918,0.042885549599304795,2.1550342310220003,2.022601523436606,2.171687708236277,0.1688499776646495,2.2138724429532886,1,NVIDIA A40,6499038
